x,y,type
301389,422458,depot
235965,401250,forest
269650,408350,forest
294745,413515,forest
255950,415750,forest
244150,424450,forest
233462,365355,sawmill
258730,434490,forest
304350,390950,forest
339360,392673,forest
280625,412620,forest
230785,368490,forest
358950,391950,forest
339032,422171,forest
295125,430915,forest
237780,413070,forest
309555,500075,forest
263350,441350,forest
302610,393430,forest
320101,434187,sawmill
300405,421645,sawmill
354079,474447,sawmill
255250,433050,forest
233830,412935,forest
287225,400140,forest
308950,377050,forest
233442,377693,sawmill
253303,397325,sawmill
338290,475990,forest
322803,429689,sawmill
254650,408450,forest
330815,485915,forest
294150,343950,forest
259150,434650,forest
235335,416455,forest
273410,386810,forest
326855,386535,forest
433531,457150,sawmill
300420,468789,sawmill
379295,419890,forest
273835,413200,forest
248050,382550,forest
312013,414862,sawmill
255895,400615,forest
329865,398530,forest
311553,414516,sawmill
361455,401135,forest
237150,423350,forest
286232,438535,sawmill
235885,412155,forest
337480,440577,sawmill
237061,375291,forest
317500,514500,forest
231069,368866,sawmill
233945,404340,forest
286967,401910,sawmill
259150,409350,forest
215280,440260,forest
266050,437050,forest
253288,397320,forest
224050,443950,forest
275262,402503,forest
237550,421450,forest
230450,419650,forest
253485,409795,forest
255750,434950,forest
256350,433750,forest
283885,430747,sawmill
233280,417250,forest
364470,395685,forest
220630,420600,forest
233150,446450,forest
370335,509560,forest
234085,408635,forest
254635,378348,sawmill
226457,427498,forest
319865,532410,sawmill
227745,425985,forest
291506,364500,forest
