pickup,dropoff
95,17
14,69
95,17
14,71
14,69
49,17
80,90
68,48
28,86
95,17
95,84
49,84
80,90
27,17
37,71
27,17
18,48
14,69
82,71
80,35
70,48
19,48
36,86
34,84
26,48
26,48
37,71
95,84
95,84
77,84
11,40
80,90
50,40
26,52
59,84
66,89
49,84
34,84
78,71
6,71
15,71
60,52
31,84
23,48
94,71
26,48
32,52
80,90
93,84
80,90
41,84
61,98
36,52
25,20
80,35
49,84
32,52
75,48
41,71
28,86
57,84
25,69
97,52
70,48
39,52
95,84
23,48
8,48
9,71
34,48
77,84
67,17
26,71
94,71
80,90
67,17
13,84
61,69
27,17
15,71
78,71
10,71
49,71
12,52
49,84
8,71
77,52
3,71
64,86
70,52
76,48
94,71
77,86
77,86
39,52
39,52
80,90
80,90
57,71
65,98
70,48
8,48
3,71
95,84
2,71
85,86
76,48
3,69
15,71
6,48
15,71
75,48
78,71
26,52
10,71
57,86
80,90
85,86
28,86
78,71
39,52
78,74
41,71
41,84
38,48
10,71
34,84
39,48
77,84
58,84
12,52
77,84
2,71
57,71
39,52
97,52
18,48
10,52
8,71
67,17
45,84
10,71
62,4
14,86
13,52
31,52
76,48
56,52
13,52
80,90
87,81
15,52
77,84
11,40
18,48
57,52
79,48
57,52
60,71
25,69
10,52
70,48
70,48
33,84
25,69
10,52
12,52
57,52
8,52
22,84
95,84
87,81
53,71
49,84
68,48
57,52
77,52
49,17
53,71
78,71
82,98
18,48
45,84
27,17
64,52
91,17
10,52
87,81
57,52
30,98
45,84
67,17
29,71
28,86
13,84
13,84
78,48
78,81
25,40
39,52
8,48
77,84
80,35
32,84
37,71
72,71
16,48
72,98
8,71
39,52
46,84
55,84
39,52
72,86
77,52
11,69
15,52
57,86
53,71
36,52
87,52
75,52
80,96
93,84
80,90
41,84
80,35
26,48
97,52
67,17
53,48
39,52
68,48
39,52
10,71
54,81
82,98
31,48
91,17
75,71
12,84
12,84
75,52
11,40
68,48
25,69
32,71
26,71
30,86
76,48
39,52
78,74
7,52
66,44
53,71
51,52
53,71
26,71
65,98
10,52
39,52
41,84
8,71
10,52
26,48
10,71
64,86
78,71
76,48
80,90
70,48
12,52
92,48
57,52
41,69
79,42
26,81
30,86
70,84
56,52
53,48
39,71
88,98
51,52
10,71
15,71
76,48
58,86
61,98
57,71
39,52
80,90
53,48
23,48
76,48
36,52
61,98
26,52
10,52
75,52
18,48
67,17
76,48
37,71
77,86
65,98
57,52
80,35
65,98
58,86
12,52
60,52
75,40
13,84
80,35
59,84
39,52
66,48
10,71
15,71
8,48
53,48
27,17
88,98
45,84
10,71
75,48
16,71
36,52
18,48
66,89
79,42
5,71
87,71
78,81
8,43
13,84
78,48
12,52
80,90
27,17
30,86
18,48
75,48
87,52
68,24
67,17
38,52
7,52
67,17
15,71
26,71
15,71
23,48
3,69
83,84
41,84
79,42
78,63
64,52
34,84
12,52
8,48
11,40
47,43
97,52
25,69
94,71
37,71
12,52
41,73
11,69
7,52
41,84
32,52
82,98
61,69
10,98
14,81
11,40
77,52
78,71
41,71
23,48
12,84
8,48
7,52
18,48
72,98
10,52
8,48
61,69
26,71
11,69
16,48
70,48
34,48
21,84
26,52
70,52
